city,city_cn,province,metric,metric_label,mk_s,mk_z,mk_p,mk_trend,sen_slope_per_year,sen_slope_per_decade,sen_intercept,sen_low_slope,sen_high_slope,significance
Yichang,宜昌,Hubei,max_1day_precip,Annual maximum 1-day precipitation,-40,-0.91084376,0.3623777,no significant trend,-0.375,-3.75,822.2,-2.55,1.22222222,
Yueyang,岳阳,Hunan,annual_precip,Annual precipitation,-8,-0.16348478,0.87013676,no significant trend,-1.61538462,-16.15384615,4708.75384615,-22.1,15.4875,
Yueyang,岳阳,Hunan,light_amount,Light precipitation amount,16,0.35032452,0.72609516,no significant trend,0.58100962,5.81009615,-773.29134615,-2.63,4.09375,
Yueyang,岳阳,Hunan,moderate_amount,Moderate precipitation amount,-12,-0.25690465,0.79725238,no significant trend,-0.98464052,-9.84640523,2493.79673203,-6.9,6.36470588,
Yueyang,岳阳,Hunan,heavy_amount,Heavy precipitation amount,-86,-1.98517231,0.0471253,decreasing,-6.54166667,-65.41666667,13530.03333333,-16.01428571,-0.03333333,*
Yueyang,岳阳,Hunan,extreme_amount,Extreme precipitation amount,26,0.58525919,0.55837345,no significant trend,3.07670455,30.76704545,-6065.52954545,-4.02,12.79,
Yueyang,岳阳,Hunan,light_amount_ratio,Light precipitation proportion,20,0.4437444,0.65722739,no significant trend,0.00092767,0.00927667,-1.60011433,-0.00179447,0.00302909,
Yueyang,岳阳,Hunan,moderate_amount_ratio,Moderate precipitation proportion,4,0.0700649,0.944142,no significant trend,0.00013736,0.00137363,0.08701116,-0.00293433,0.00315609,
Yueyang,岳阳,Hunan,heavy_amount_ratio,Heavy precipitation proportion,-112,-2.59240148,0.00953085,decreasing,-0.00461497,-0.04614974,9.54571405,-0.00636281,-0.00104045,**
Yueyang,岳阳,Hunan,extreme_amount_ratio,Extreme precipitation proportion,40,0.91300433,0.36124026,no significant trend,0.00264815,0.02648153,-5.24058239,-0.00270033,0.00847221,
Yueyang,岳阳,Hunan,light_days,Light precipitation days,66,1.51973174,0.12857841,no significant trend,0.55050505,5.50505051,-970.61616162,-0.18181818,1.35294118,
Yueyang,岳阳,Hunan,moderate_days,Moderate precipitation days,-7,-0.14075823,0.88806094,no significant trend,0.0,0.0,32.0,-0.38888889,0.375,
Yueyang,岳阳,Hunan,heavy_days,Heavy precipitation days,-84,-1.9519958,0.0509387,no significant trend,-0.2,-2.0,412.4,-0.47619048,0.0,+
Yueyang,岳阳,Hunan,extreme_days,Extreme precipitation days,30,0.68826874,0.49128356,no significant trend,0.0,0.0,2.0,-0.07142857,0.2,
Yueyang,岳阳,Hunan,max_1day_precip,Annual maximum 1-day precipitation,7,0.14016804,0.88852722,no significant trend,0.09423559,0.94235589,-122.70200501,-1.12222222,1.07142857,
